"plugin","extension point","is aggregated contract","verification result ","must exist: ?persistent/@value ","?persistent/@value.null net.java.treaty.Operator$IN@2dbfc1true",FALSE,"must exist: ?super/@type ","must exist: ?attribute/@name  ","variable ?persistent/@value ","variable ?super/@type ","variable ?attribute/@name "
"    org.eclipse.jpt.core","org.eclipse.jpt.core.jpaProblemMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.wst.validation.problemmarker ","?            ",
"    org.eclipse.dltk.core","org.eclipse.dltk.core.problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.dltk.core","org.eclipse.dltk.core.runtime_problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.dltk.core","org.eclipse.dltk.core.buildpath_problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.dltk.core","org.eclipse.dltk.core.transient_problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.debug.core","org.eclipse.debug.core.breakpointMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.marker ","org.eclipse.debug.core.modelIdentifier            ",
"    org.eclipse.debug.core","org.eclipse.debug.core.lineBreakpointMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.marker ","org.eclipse.debug.core.modelIdentifier            ",
"    org.eclipse.wst.jsdt.core","org.eclipse.wst.jsdt.core.problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.wst.jsdt.core","org.eclipse.wst.jsdt.core.buildpath_problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.wst.jsdt.core","org.eclipse.wst.jsdt.core.transient_problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.wst.jsdt.core","org.eclipse.wst.jsdt.core.task",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.cdt.core","org.eclipse.cdt.core.problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","externalLocation            ",
"    org.eclipse.cdt.core","org.eclipse.cdt.core.task",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","externalLocation            ",
"    org.eclipse.cdt.core","org.eclipse.cdt.core.indexermarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","externalLocation            ",
"    org.eclipse.cdt.core","org.eclipse.cdt.core.pathentry_problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","externalLocation            ",
"    org.eclipse.birt.report.debug.ui","org.eclipse.birt.report.debug.ui.script.scriptLineBreakpointMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.debug.core.lineBreakpointMarker ","?            ",
"    org.eclipse.jdt.apt.core","org.eclipse.jdt.apt.core.compile.problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.jdt.core.problem ","?            ",
"    org.eclipse.jdt.apt.core","org.eclipse.jdt.apt.core.nonreconcile.compile.problem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.jdt.core.problem ","?            ",
"    org.eclipse.jdt.apt.core","org.eclipse.jdt.apt.core.buildproblem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.jdt.core.problem ","?            ",
"    org.eclipse.jdt.apt.core","org.eclipse.jdt.apt.core.configproblem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.jdt.core.problem ","?            ",
"    org.eclipse.jst.jsf.ui","org.eclipse.jst.jsf.ui.JSPSemanticsValidatorMarker",FALSE,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.validation.problemmarker ","?            ",
"    org.eclipse.wst.css.core","org.eclipse.wst.css.core.taskMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.core.resources.taskmarker ","?            ",
"    org.eclipse.wst.html.core","org.eclipse.wst.html.core.taskMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.core.resources.taskmarker ","?            ",
"    org.eclipse.wst.html.core","org.eclipse.wst.html.core.validationMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.core.resources.taskmarker ","?            ",
"    org.eclipse.wst.dtd.core","org.eclipse.wst.dtd.core.taskMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.core.resources.taskmarker ","?            ",
"    org.eclipse.wst.dtd.core","org.eclipse.wst.dtd.core.validationMarker",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.core.resources.taskmarker ","?            ",
"    org.eclipse.jdt.apt.pluggable.core","org.eclipse.jdt.apt.pluggable.core.compileProblem",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.core.resources.problemmarker ","?            ",
