"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@visible ","?@visible.null net.java.treaty.Operator$IN@183e109true",FALSE,"must exist: ?@cardinality ","?@cardinality.null net.java.treaty.Operator$REGEX@12b304b(\d)*|\*|(singleton-global)|(singleton-scope) ","must exist: ?@thread ","?@thread.null net.java.treaty.Operator$IN@183e109main","any ","?run/@class java#implements org.eclipse.equinox.app.IApplication  ","variable ?@visible ","variable ?@cardinality ","variable ?@thread ","variable ?run/@class "
"    org.eclipse.ecf.server.generic","org.eclipse.ecf.provider.AppGenericServer",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"* ","main ","org.eclipse.ecf.server.generic.app.GenericServer            ",,
"    org.eclipse.ecf.server.generic","org.eclipse.ecf.provider.GenericServer",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"* ","any ","org.eclipse.ecf.server.generic.app.GenericServer            ",,
"    org.eclipse.ecf.server.generic","org.eclipse.ecf.server.generic.Server",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"* ","main ","org.eclipse.ecf.server.generic.app.GenericServer            ",,
"    org.eclipse.wst.jsdt.core","org.eclipse.wst.jsdt.core.JavaCodeFormatter",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","? ","org.eclipse.wst.jsdt.core.formatter.CodeFormatterApplication            ",,
"    org.eclipse.equinox.app","org.eclipse.equinox.app.error",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ",FALSE,"? ","? ","org.eclipse.equinox.internal.app.ErrorApplication            ",,
"    org.eclipse.equinox.p2.reconciler.dropins","org.eclipse.equinox.p2.reconciler.application",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"singleton-global ","main ","org.eclipse.equinox.internal.p2.reconciler.dropins.Application            ",,
"    org.eclipse.cdt.core","org.eclipse.cdt.core.GeneratePDOM",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ",TRUE,"? ","? ","org.eclipse.cdt.internal.core.pdom.export.GeneratePDOMApplication            ",,
"    org.eclipse.datatools.connectivity.console.profile","org.eclipse.datatools.connectivity.console.profile.StorageFileEditor",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"* ","main ","org.eclipse.datatools.connectivity.console.profile.internal.EditorCmdAppl            ",,
"    org.eclipse.jdt.apt.core","org.eclipse.jdt.apt.core.aptBuild",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","? ","org.eclipse.jdt.apt.core.build.AptBuilder            ",,
"    org.eclipse.equinox.p2.director.app","org.eclipse.equinox.p2.director.app.application",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","? ","org.eclipse.equinox.internal.p2.director.app.Application            ",,
"    org.eclipse.equinox.p2.metadata.generator","org.eclipse.equinox.p2.metadata.generator.EclipseGenerator",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,1,"main ","org.eclipse.equinox.internal.p2.metadata.generator.EclipseGeneratorApplication            ",,
"    org.eclipse.pde.junit.runtime","org.eclipse.pde.junit.runtime.uitestapplication",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","? ","org.eclipse.pde.internal.junit.runtime.UITestApplication            ",,
"    org.eclipse.pde.junit.runtime","org.eclipse.pde.junit.runtime.legacytestapplication",FALSE,1,"FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","class does not implement the interface – package does not exist in the plugin","? ","? ","? ","org.eclipse.pde.internal.junit.runtime.LegacyUITestApplication            ",,
"    org.eclipse.pde.junit.runtime","org.eclipse.pde.junit.runtime.coretestapplication",FALSE,1,"FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","class does not implement the interface – package does not exist in the plugin","? ","? ","? ","org.eclipse.pde.internal.junit.runtime.CoreTestApplication            ",,
"    org.eclipse.pde.junit.runtime","org.eclipse.pde.junit.runtime.coretestapplicationnonmain",FALSE,1,"FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","class does not implement the interface – package does not exist in the plugin","? ",1,"any ","org.eclipse.pde.internal.junit.runtime.CoreTestApplication            ",,
"    org.eclipse.emf.importer.ecore","org.eclipse.emf.importer.ecore.Ecore2GenModel",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","? ","org.eclipse.emf.importer.ecore.EcoreImporterApplication            ",,
