"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?../file-association/@content-type ","must exist: ?@describer ","?@describer java#implements org.eclipse.core.runtime.content.IContentDescriber ","must exist: ?describer/@class ","?describer/@class java#implements org.eclipse.core.runtime.content.IContentDescriber  ","variable ?@id ","variable ?../file-association/@content-type ","variable ?@describer ","variable ?describer/@class "
"    org.eclipse.jpt.core","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.jpt.core.content.orm ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.jpt.core","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.jpt.core.content.persistence ","? ","? ","org.eclipse.core.runtime.content.XMLRootElementContentDescriber            "
"    org.eclipse.wst.jsdt.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","jsSource ","org.eclipse.core.runtime.xml ","? ","?            "
"    org.eclipse.uml2.uml","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.uml2 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.uml2.uml ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.uml2.uml_2_0_0 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.eclipse.uml2.uml_2_1_0 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.omg.uml ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.omg.uml_2_1 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
"    org.eclipse.uml2.uml","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","org.omg.uml_2_1_1 ","? ","? ","org.eclipse.emf.ecore.xmi.impl.RootXMLContentHandlerImpl$Describer            "
