"plugin","extension point","is aggregated contract","verification result ","?/contexts/@file xml#instantiatesDTD contract_resources/org.eclipse.help.contexts/contexts.dtd ","?/contextProvider/@class java#implements org.eclipse.help.AbstractContextProvider  ","variable ?/contexts/@file ","variable ?/contextProvider/@class "
"    org.eclipse.rse.processes.ui","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","HelpContexts.xml ","?            "
"    org.eclipse.wst.html.ui.infopop","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","EditorHtmlContexts.xml ","?            "
"    org.eclipse.jst.server.ui.infopop","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","STtomcatContexts.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","contexts_Workbench.xml ","?            "
"    org.eclipse.jst.jsp.ui.infopop","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","EditorJspContexts.xml ","?            "
"    org.eclipse.wst.sse.ui.infopop","anonymous",FALSE,"FAILURE ","XML validation against DTD has failed – invalid element <b>","FAILURE  ","EditorContexts.xml ","?            "
