"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?/toc/@file ","?/toc/@file xml#instantiatesDTD contract_resources/org.eclipse.help.toc/toc.dtd ","must exist: ?tocProvider/@class ","?tocProvider/@class java#implements org.eclipse.help.AbstractTocProvider ","must exist: ?index/@path ","must exist: ?index/@path  ","variable ?/toc/@file ","variable ?tocProvider/@class ","variable ?index/@path "
"    net.java.treaty.eclipse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.wst.sse.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","sse_toc.xml ","? ","index/            "
"    org.eclipse.wst.xsdeditor.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","XSDeditormap_toc.xml ","? ","index/            "
"    org.eclipse.epp.usagedata.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.rap.help","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","help/toc.xml ","? ","?            "
"    org.eclipse.datatools.doc.isv","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,1,"FAILURE ","SUCCESS ","validation of XML document against DTD failed - tag name ""enablement"" is not allowed","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","toc.xml ","? ","index            "
"    org.eclipse.platform.doc.user","anonymous",FALSE,1,"FAILURE ","SUCCESS ","validation of XML document against DTD failed - unexpected attribute ""extradir""","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","topics_GettingStarted.xml ","? ","?            "
"    org.eclipse.birt.doc","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","BIRTToc.xml ","? ","?            "
"    org.eclipse.wst.jsdt.doc","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.wst.wsdl.ui.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","wswsdleditort_toc.xml ","? ","index/            "
"    org.eclipse.help.base","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","? ","org.eclipse.help.internal.base.remote.RemoteTocProvider ","?            "
"    org.eclipse.datatools.connectivity.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","toc.xml ","? ","?            "
"    org.eclipse.wst.wsi.ui.doc.user","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS  ","wswsitest_toc.xml ","? ","index/            "
