"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?category/@id ","must exist: ?category/@name ","must exist: ?command/@id ","must exist: ?command/@name ","must exist: ?command/commandParameter/@values ","?command/commandParameter/@values java#implements org.eclipse.core.commands.IParameterValues ","must exist: ?command/commandParameter/values/@class ","?command/commandParameter/values/@class java#implements org.eclipse.core.commands.IParameterValues ","must exist: ?command/defaultHandler/@class ","?command/defaultHandler/@class java#implements org.eclipse.core.commands.IHandler ","must exist: ?command/state/@class ","?command/state/@class java#implements org.eclipse.core.commands.State ","must exist: ?command/state/class/@class ","?command/state/class/@class java#implements org.eclipse.core.commands.State ","must exist: ?commandParameterType/@id ","must exist: ?keyConfiguration/@name ","must exist: ?keyConfiguration/@id ","must exist: ?context/@name ","must exist: ?context/@id ","must exist: ?scope/@name ","must exist: ?scope/@id  ","variable ?category/@id ","variable ?category/@name ","variable ?command/@id ","variable ?command/@name ","variable ?command/commandParameter/@values ","variable ?command/commandParameter/values/@class ","variable ?command/defaultHandler/@class ","variable ?command/state/@class ","variable ?command/state/class/@class ","variable ?commandParameterType/@id ","variable ?keyConfiguration/@name ","variable ?keyConfiguration/@id ","variable ?context/@name ","variable ?context/@id ","variable ?scope/@name ","variable ?scope/@id "
"    org.eclipse.ui.browser","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.ui.browser.openBrowser ","%command.openBrowser.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.dltk.mylyn","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.internal.dltk.ui.commands ","Mylyn DLTK ","org.eclipse.mylyn.dltk.ui.search.context ","Search Task Context ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.rse.terminals.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.rse.terminals.ui.actions.LaunchTerminalCommand ","%Launch_Terminal_Label ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.dltk.testing","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.dltk.testing.gotoTest ","%GotoTestCommand.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.ui.workbench.texteditor","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.category.textEditor ","%category.textEditor.name ","org.eclipse.ui.edit.text.delete.line ","%command.deleteLine.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.wst.xsd.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.wst.xsd.ui.refactor.rename.element ","%command.xsd.refactor.rename.element.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.context.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.context.ui.commands ","Focused UI ","org.eclipse.mylyn.context.ui.commands.interest.increment ","Make Landmark ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.help.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.help.ui.closeTray ","%command.closeTray.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.bugs","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.mylyn.tasks.bugs.commands.newTaskFromMarker ","New Task from Marker... ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.wst.xml.ui.referencedFileErrors ","%_UI_REF_FILE_SHOW_DETAILS ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.wst.xml.ui.nextSibling ","%ActionDefinition.nextSibling.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.wst.sse.ui.generate.xml ","%_UI_ACTION_CREATE_XML ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.wst.wsdl.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.wst.wsdl.ui.refactor.rename.element ","%command.wsdl.refactor.rename.element.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.jdt.debug.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.jdt.debug.ui.commands.AddExceptionBreakpoint ","%ActionDefinition.addException.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.pde.runtime","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.pde.runtime.spy.commands.category ","%spy-category.name ","org.eclipse.pde.runtime.RegistryBrowser ","%ViewCommand.registryBrowser.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.rap.ui.launch","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.rap.ui.launch.RAPLaunchShortcut.run ","%command.run.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.java.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.java.ui.commands ","Java Context ","org.eclipse.mylyn.java.ui.editor.folding.auto ","Toggle Active Folding ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.gef","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.gef.category.view ","%ViewCategory.Label ","org.eclipse.gef.ui.palette_view ","%Palette.Label ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.search","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.search.ui.category.search ","%searchCategory.name ","org.eclipse.search.ui.openSearchDialog ","%ActionDefinition.openSearchDialog.name ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.birt.report.item.crosstab.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.birt.report.item.crosstab.ui.createCrosstab ","Create Crosstab ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.rse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.rse.ui.commands.category ","%View.Category.RemoteSystems ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","? ","?            "
