"plugin","extension point","is aggregated contract","verification result ","must exist: ?editorContribution/@id ","must exist: ?editorContribution/@targetID ","must exist: ?/editorContribution/menu/@id ","must exist: ?/editorContribution/menu/@label ","must exist: ?/editorContribution/action/@id ","must exist: ?/editorContribution/action/@label ","must exist: ?/editorContribution/action/@style ","?/editorContribution/action/@style.null net.java.treaty.Operator$IN@10f0726push","radio","toggle ","?/editorContribution/action/@style.null net.java.treaty.Operator$IN@10f0726radio","toggle ","must exist: ?/editorContribution/action/@state ","?/editorContribution/action/@class java#implements org.eclipse.ui.IEditorActionDelegate ","must exist: ?/editorContribution/action/@enablesFor ","?/editorContribution/action/@enablesFor.null net.java.treaty.Operator$REGEX@19e5262(\d)*|\?|\*|\!|\+|((\d)*\+)|(multiple)  ","variable ?editorContribution/@id ","variable ?editorContribution/@targetID ","variable ?/editorContribution/menu/@id ","variable ?/editorContribution/menu/@label ","variable ?/editorContribution/action/@id ","variable ?/editorContribution/action/@label ","variable ?/editorContribution/action/@style ","variable ?/editorContribution/action/@state ","variable ?/editorContribution/action/@class ","variable ?/editorContribution/action/@enablesFor "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreContributionID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreMenuID ","%_UI_Ecore2EcoreEditor_menu_item ","org.eclipse.emf.mapping.action.RemoveMappingActionID ","%_UI_RemoveMapping_menu_item ","? ","? ","org.eclipse.emf.mapping.action.RemoveMappingAction ","?            ",,,
"    org.eclipse.birt.report.debug.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor.BreakpointRulerActions ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor ","? ","? ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor.ManageBreakpointRulerAction ","%ToggleBreakpoint.label ","? ","? ","org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate ","?            ",,,
"    org.eclipse.birt.report.debug.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor.BreakpointRulerActions ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor ","? ","? ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor.ManageBreakpointRulerAction ","%ToggleBreakpoint.label ","? ","? ","org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate ","?            ",,,
"    org.eclipse.wst.xsd.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.xsd.core.xsdsource.ruler.actions ","org.eclipse.wst.xsd.core.xsdsource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","?            ",,,
"    org.eclipse.wst.dtd.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.dtd.core.dtdsource.source.editorActions ","org.eclipse.wst.dtd.core.dtdsource.source ","? ","? ","StructureSelectEnclosing ","%StructureSelectEnclosing_label ","? ","? ","org.eclipse.wst.xml.ui.internal.selection.StructuredSelectEnclosingXMLActionDelegate ","?            ",,,
"    org.eclipse.wst.wsdl.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.ui.articles.action.contribution.editor ","org.eclipse.wst.wsdl.ui.internal.WSDLEditor ","WSDLEditor ","%_UI_EDITOR_NAME ","org.eclipse.wst.wsdl.ui.actions.ReloadDependenciesActionDelegate ","%_UI_RELOAD_DEPENDENCIES ","? ","? ","org.eclipse.wst.wsdl.ui.internal.ReloadDependenciesActionDelegate ","?            ",,,
"    org.eclipse.jdt.debug.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions ","org.eclipse.jdt.ui.CompilationUnitEditor ","? ","? ","org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction ","%AddBreakpoint.label ","? ","? ","org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate ","+            ",,,
"    org.eclipse.wst.css.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.wst.css.core.csssource.ruler.actions ","org.eclipse.wst.css.core.csssource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","?            ",,,
"    org.eclipse.emf.importer","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.emf.importer.genModelEditorContribution ","org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditorID ","? ","? ","org.eclipse.emf.importer.ui.GenModelReloadActionDelegate.Editor ","%_UI_Model_Reload_label ","? ","? ","org.eclipse.emf.importer.ui.GenModelReloadActionDelegate ","?            ",,,
"    org.eclipse.ant.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.ui.editorActions.antEditor ","org.eclipse.ant.ui.internal.editor.AntEditor ","? ","? ","org.eclipse.ant.ui.OpenExternalDocAction ","%Dummy.label ","? ","? ","org.eclipse.ant.internal.ui.editor.actions.OpenExternalDocAction ","?            ",,,
