"plugin","extension point","is aggregated contract","partNo","verification result ","?@class java#implements org.eclipse.ui.IViewPart ","must exist: ?@fastViewVidthRatio ","?@fastViewVidthRatio.null net.java.treaty.Operator$GTE@b598500.05 ","?@fastViewVidthRatio.null net.java.treaty.Operator$LTE@22e3f20.95 ","?../stickyView/@location.null net.java.treaty.Operator$IN@a32803right","left","top","bottom ","must exist: ?../category/@name  ","variable ?@class ","variable ?@fastViewVidthRatio ","variable ?../stickyView/@location ","variable ?../category/@name "
"    net.java.treaty.eclipse.example.clock","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","net.java.treaty.eclipse.example.clock.ClockView ","? ","? ","Treaty Examples            ",,,
"    net.java.treaty.eclipse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","net.java.treaty.eclipse.views.ContractView ","? ","? ","Treaty            ",,,
"    net.java.treaty.eclipse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","net.java.treaty.eclipse.views.VocabularyView ","? ","? ","Treaty            ",,,
"    org.eclipse.ui.views","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.views.properties.PropertySheet ","? ","? ","?            ",,,
"    org.eclipse.ui.views","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.views.contentoutline.ContentOutline ","? ","? ","?            ",,,
"    org.eclipse.ui.browser","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.browser.WebBrowserView ","? ","? ","?            ",,,
"    org.eclipse.rse.terminals.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.rse.internal.terminals.ui.views.TerminalViewer ","? ","? ","?            ",,,
"    org.eclipse.dltk.testing","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.dltk.internal.testing.ui.TestRunnerViewPart ","? ","? ","?            ",,,
"    org.eclipse.jst.jsf.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jst.jsf.ui.internal.component.ComponentTreeView ","? ","? ","%jsf.ui.views.category.name            ",,,
"    org.eclipse.jst.jsf.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jst.jsf.ui.internal.tagregistry.TagRegistryView ","? ","? ","%jsf.ui.views.category.name            ",,,
"    org.eclipse.help.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.help.ui.internal.views.HelpView ","? ","RIGHT ","%HelpViewCategory            ",,,
"    org.eclipse.wst.common.snippets","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.common.snippets.internal.ui.SnippetsView ","? ","? ","?            ",,,
"    org.eclipse.jdt.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.jdt.internal.debug.ui.display.DisplayView ","? ","? ","?            ",,,
"    org.eclipse.pde.runtime","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.runtime.registry.RegistryBrowser ","? ","? ","%views.category.name            ",,,
"    org.eclipse.gef","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.gef.ui.views.palette.PaletteView ","? ","? ","?            ",,,
"    org.eclipse.search","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.search.internal.ui.SearchResultView ","? ","? ","?            ",,,
"    org.eclipse.search","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.search2.internal.ui.SearchView ","? ","? ","?            ",,,
"    org.eclipse.birt.report.designer.ui.samplesview","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.birt.report.designer.ui.samplesview.view.ReportExamplesView ","? ","? ","?            ",,,
"    org.eclipse.ui.console","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.console.ConsoleView ","? ","? ","?            ",,,
"    org.eclipse.rse.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.internal.ui.view.SystemViewPart ","? ","? ","%View.Category.RemoteSystems            ",,,
"    org.eclipse.rse.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.internal.ui.view.team.SystemTeamViewPart ","? ","? ","%View.Category.RemoteSystems            ",,,
"    org.eclipse.rse.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.internal.ui.view.SystemTableViewPart ","? ","? ","%View.Category.RemoteSystems            ",,,
"    org.eclipse.rse.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.internal.ui.view.search.SystemSearchViewPart ","? ","? ","%View.Category.RemoteSystems            ",,,
"    org.eclipse.rse.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.internal.ui.view.scratchpad.SystemScratchpadViewPart ","? ","? ","%View.Category.RemoteSystems            ",,,
"    org.eclipse.rse.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.internal.ui.view.monitor.SystemMonitorViewPart ","? ","? ","%View.Category.RemoteSystems            ",,,
"    org.eclipse.rse.shells.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.rse.internal.shells.ui.view.SystemCommandsViewPart ","? ","? ","?            ",,,
"    org.eclipse.datatools.connectivity.ui.dse","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.connectivity.ui.dse.views.DataSourceExplorerView ","? ","? ","%category.name.dataTools            ",,,
"    org.eclipse.ecf.presence.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ecf.presence.ui.MessagesView ","? ","? ","?            ",,,
"    org.eclipse.ecf.presence.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ecf.presence.ui.MultiRosterView ","? ","? ","?            ",,,
"    org.eclipse.ecf.presence.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ecf.presence.ui.chatroom.ChatRoomManagerView ","? ","? ","?            ",,,
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ant.internal.ui.views.AntView ","? ","? ","%CategoryView.antViews            ",,,
"    org.eclipse.birt.report.designer.ui.lib.explorer","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.birt.report.designer.ui.lib.explorer.LibraryExplorerView ","? ","? ","?            ",,,
"    org.eclipse.pde.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.views.plugins.PluginsView ","? ","? ","%views.category.name            ",,,
"    org.eclipse.pde.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.pde.internal.ui.views.dependencies.DependenciesView ","? ","? ","%views.category.name            ",,,
"    org.eclipse.dltk.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.dltk.internal.debug.ui.log.ScriptDebugLogView ","? ","? ","?            ",,,
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.mylyn.internal.tasks.ui.views.TaskListView ","? ","? ","Mylyn            ",,,
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.mylyn.internal.tasks.ui.views.TaskRepositoriesView ","? ","? ","Mylyn            ",,,
"    org.tigris.subversion.subclipse.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.tigris.subversion.subclipse.ui.repository.RepositoriesView ","? ","? ","%viewCategory            ",,,
"    org.tigris.subversion.subclipse.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.tigris.subversion.subclipse.ui.svnproperties.SvnPropertiesView ","? ","? ","%viewCategory            ",,,
"    org.tigris.subversion.subclipse.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.tigris.subversion.subclipse.ui.annotations.AnnotateView ","? ","? ","%viewCategory            ",,,
"    org.eclipse.ui.cheatsheets","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.cheatsheets.views.CheatSheetView ","? ","? ","?            ",,,
"    org.eclipse.wst.internet.monitor.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.wst.internet.monitor.ui.internal.view.MonitorView ","? ","? ","?            ",,,
"    org.eclipse.ui.views.log","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.views.log.LogView ","? ","? ","?            ",,,
"    org.eclipse.jpt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jpt.ui.internal.views.structure.JpaStructureView ","? ","? ","%jpaPerspective            ",,,
"    org.eclipse.jpt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jpt.ui.internal.views.JpaDetailsView ","? ","? ","%jpaPerspective            ",,,
"    org.eclipse.team.cvs.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.internal.ccvs.ui.repo.RepositoriesView ","? ","? ","%viewCategory            ",,,
"    org.eclipse.team.cvs.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.internal.ccvs.ui.EditorsView ","? ","? ","%viewCategory            ",,,
"    org.eclipse.ui.ide","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.progress.ProgressView ","? ","? ","?            ",,,
"    org.eclipse.ui.ide","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.views.navigator.ResourceNavigator ","? ","? ","?            ",,,
"    org.eclipse.ui.ide","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.views.markers.BookmarksView ","? ","? ","?            ",,,
"    org.eclipse.ui.ide","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.views.markers.TasksView ","? ","? ","?            ",,,
"    org.eclipse.ui.ide","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.views.markers.ProblemsView ","? ","? ","?            ",,,
"    org.eclipse.ui.ide","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.internal.views.markers.AllMarkersView ","? ","? ","?            ",,,
"    org.eclipse.jdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.packageview.PackageExplorerPart ","? ","? ","%viewCategoryName            ",,,
"    org.eclipse.jdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.typehierarchy.TypeHierarchyViewPart ","? ","? ","%viewCategoryName            ",,,
"    org.eclipse.jdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.browsing.ProjectsView ","? ","? ","%Browsing.viewCategoryName            ",,,
"    org.eclipse.jdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.browsing.PackagesView ","? ","? ","%Browsing.viewCategoryName            ",,,
"    org.eclipse.jdt.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.browsing.TypesView ","? ","? ","%Browsing.viewCategoryName            ",,,
"    org.eclipse.jdt.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.internal.ui.browsing.MembersView ","? ","? ","%Browsing.viewCategoryName            ",,,
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.jdt.internal.ui.callhierarchy.CallHierarchyViewPart ","? ","? ","?            ",,,
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ui.texteditor.templates.TemplatesView ","? ","? ","?            ",,,
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.jdt.internal.ui.infoviews.SourceView ","? ","? ","?            ",,,
"    org.eclipse.jdt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.jdt.internal.ui.infoviews.JavadocView ","? ","? ","?            ",,,
"    org.eclipse.birt.report.designer.ui.views","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.birt.report.designer.ui.views.data.DataView ","? ","? ","%ReportViews            ",,,
"    org.eclipse.birt.report.designer.ui.views","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.birt.report.designer.ui.views.attributes.AttributeView ","? ","? ","%ReportViews            ",,,
"    org.eclipse.team.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.internal.ui.synchronize.SynchronizeView ","? ","? ","%Team.viewCategory            ",,,
"    org.eclipse.team.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.internal.ui.history.GenericHistoryView ","? ","? ","%Team.viewCategory            ",,,
"    org.eclipse.birt.chart.examples","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.birt.chart.examples.view.ChartExamplesView ","? ","? ","?            ",,,
"    org.eclipse.datatools.sqltools.result","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.datatools.sqltools.result.internal.ui.view.ResultsView ","? ","? ","?            ",,,
