"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?persistent/@value ","?persistent/@value.null net.java.treaty.Operator$IN@cc5c38true",FALSE,"must exist: ?super/@type ","must exist: ?attribute/@name  ","variable ?persistent/@value ","variable ?super/@type ","variable ?attribute/@name "
"    org.eclipse.jpt.core","org.eclipse.jpt.core.jpaProblemMarker",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.wst.validation.problemmarker ","?            ",
"    org.eclipse.dltk.core","org.eclipse.dltk.core.problem",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.dltk.core","org.eclipse.dltk.core.runtime_problem",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.core.resources.problemmarker ","?            ",
"    org.eclipse.dltk.core","org.eclipse.dltk.core.buildpath_problem",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","cycleDetected            ",
"    org.eclipse.dltk.core","org.eclipse.dltk.core.transient_problem",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",FALSE,"org.eclipse.core.resources.textmarker ","id            ",
"    org.eclipse.debug.core","org.eclipse.debug.core.breakpointMarker",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.marker ","org.eclipse.debug.core.modelIdentifier            ",
"    org.eclipse.debug.core","org.eclipse.debug.core.lineBreakpointMarker",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE  ",TRUE,"org.eclipse.debug.core.breakpointMarker ","?            ",
"    org.eclipse.wst.jsdt.core","org.eclipse.wst.jsdt.core.problem",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","id            ",
"    org.eclipse.wst.jsdt.core","org.eclipse.wst.jsdt.core.buildpath_problem",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",TRUE,"org.eclipse.core.resources.problemmarker ","cycleDetected            ",
"    org.eclipse.wst.jsdt.core","org.eclipse.wst.jsdt.core.transient_problem",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ",FALSE,"org.eclipse.core.resources.textmarker ","id            ",
