"plugin","extension point","is aggregated contract","partNo","verification result ","?@class java#implements org.eclipse.ui.IEditorPart ","must exist: ?@style ","?@launcher java#implements org.eclipse.ui.IEditorLauncher ","must exist: ?@contributorClass ","?@contributorClass java#implements org.eclipse.ui.IEditorActionBarContributor ","must exist: ?@class ","must exist: ?@matcingStrategy ","?@matcingStrategy java#implements org.eclipse.ui.IEditorMatchingStrategy ","must exist: ?@class  ","variable ?@class ","variable ?@style ","variable ?@launcher ","variable ?@contributorClass ","variable ?@matcingStrategy "
"    org.eclipse.emf.codegen.ecore.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelEditor ","? ","? ","org.eclipse.emf.codegen.ecore.genmodel.presentation.GenModelActionBarContributor ","?            "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditor ","? ","? ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreActionBarContributor ","?            "
"    org.eclipse.emf.ecore.editor","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.ecore.presentation.EcoreEditor ","? ","? ","org.eclipse.emf.ecore.presentation.EcoreActionBarContributor ","?            "
"    org.eclipse.emf.ecore.editor","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.ecore.presentation.EcoreEditor ","? ","? ","org.eclipse.emf.ecore.presentation.EcoreActionBarContributor$Reflective ","?            "
"    org.eclipse.emf.ecore.editor","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.ecore.presentation.EcoreEditor$XML ","? ","? ","org.eclipse.emf.ecore.presentation.EcoreActionBarContributor$Reflective ","?            "
"    org.eclipse.emf.ecore.editor","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.ecore.presentation.EcoreEditor ","? ","? ","org.eclipse.emf.ecore.presentation.EcoreActionBarContributor ","?            "
"    org.eclipse.emf.ecore.editor","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.ecore.presentation.EcoreEditor ","? ","? ","org.eclipse.emf.ecore.presentation.EcoreActionBarContributor$Reflective ","?            "
"    org.eclipse.emf.ecore.editor","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.ecore.presentation.EcoreEditor$XML ","? ","? ","org.eclipse.emf.ecore.presentation.EcoreActionBarContributor$Reflective ","?            "
"    org.eclipse.emf.ecore.editor","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.ecore.presentation.EcoreEditor ","? ","? ","org.eclipse.emf.ecore.presentation.EcoreActionBarContributor ","?            "
"    org.eclipse.emf.ecore.editor","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.emf.ecore.presentation.EcoreEditor ","? ","? ","org.eclipse.emf.ecore.presentation.EcoreActionBarContributor$Reflective ","?            "
