"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?keyword/@label ","must exist: ?keyword/@id  ","variable ?keyword/@label ","variable ?keyword/@id "
"    org.eclipse.ui.browser","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords ","org.eclipse.ui.browser.preferenceKeywords            "
"    org.eclipse.dltk.testing","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.dltk.testing.testing            "
"    org.eclipse.mylyn.context.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","mylyn context focus focused ","org.eclipse.mylyn.context.ui.keywords            "
"    org.eclipse.help.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.browsersPreferencePage ","org.eclipse.help.ui.browsersPreferencePage            "
"    org.eclipse.ui.net","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%PreferenceKeywords.PROXY ","org.eclipse.ui.net.proxy            "
"    org.eclipse.wst.dtd.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.files ","org.eclipse.wst.dtd.ui.files            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.files ","org.eclipse.wst.xml.ui.files            "
"    org.eclipse.jdt.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.jdt.debug.ui.general            "
"    org.eclipse.update.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.update.ui.general            "
"    org.eclipse.search","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.search.ui            "
"    org.eclipse.wst.css.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.files ","org.eclipse.wst.css.ui.files            "
"    org.eclipse.jsch.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%PreferenceKeywords.SSH ","org.eclipse.jsch.ui.ssh2            "
"    org.eclipse.pde.api.tools.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%ApiProfilesPreferencePage.keywords ","org.eclipse.pde.api.tools.ui.profiles.prefpage            "
"    org.eclipse.compare","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.compare.general            "
"    org.eclipse.ant.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.ant.ui.general            "
"    org.eclipse.pde.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.PDE ","org.eclipse.pde.ui.pde            "
"    org.eclipse.equinox.p2.ui.sdk","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS  ","%preferenceKeywords.general ","org.eclipse.equinox.p2.ui.sdk.updates.general            "
