"plugin","extension point","is aggregated contract","verification result ","must exist: ?context/@name ","must exist: ?context/@id  ","variable ?context/@name ","variable ?context/@id "
"    org.eclipse.wst.xsd.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.text.editor.xsd.name ","org.eclipse.wst.xsd.ui.text.editor.context            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%scope.structured.text.editor.xml.name ","org.eclipse.core.runtime.xml            "
"    org.eclipse.jdt.debug.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%Context.javaDebugging.name ","org.eclipse.jdt.debug.ui.debugging            "
"    org.eclipse.wst.css.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%scope.structured.text.editor.css.name ","org.eclipse.wst.css.core.csssource            "
"    org.eclipse.ui.console","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.consoleview.name ","org.eclipse.ui.console.ConsoleView            "
"    org.eclipse.datatools.sqltools.sqleditor","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.editingSQL.name ","org.eclipse.datatools.sqltools.SQLEditorScope            "
"    org.eclipse.compare","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.name ","org.eclipse.compare.compareEditorScope            "
"    org.eclipse.ant.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.editingAnt.name ","org.eclipse.ant.ui.AntEditorScope            "
"    org.eclipse.pde.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.name.pde.editor ","org.eclipse.pde.ui.pdeEditorContext            "
"    org.eclipse.dltk.debug.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%DebuggingScriptContext.label ","org.eclipse.dltk.debug.ui.debugging            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","In Tasks View ","org.eclipse.mylyn.tasks.ui.views.tasks            "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","In Tasks View ","org.eclipse.mylyn.tasks.ui.views.tasks            "
"    org.eclipse.jdt.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.editingJavaSource.name ","org.eclipse.jdt.ui.javaEditorScope            "
"    org.eclipse.wst.server.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context ","org.eclipse.ui.serverViewScope            "
"    org.eclipse.wst.html.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%scope.structured.text.editor.html.name ","org.eclipse.wst.html.core.htmlsource            "
"    org.eclipse.jst.jsp.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%scope.structured.text.editor.jsp.name ","org.eclipse.jst.jsp.ui.structured.text.editor.jsp.scope            "
"    org.eclipse.wst.sse.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%scope.structuredTextEditor.name ","org.eclipse.wst.sse.ui.structuredTextEditorScope            "
"    org.eclipse.tm.terminal","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%terminal.context.name ","org.eclipse.tm.terminal.TerminalContext            "
"    org.eclipse.dltk.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.editingScriptSource.name ","org.eclipse.dltk.ui.scriptEditorScope            "
"    org.eclipse.jst.pagedesigner","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%editor.binding.context.name ","org.eclipse.jst.pagedesigner.editorContext            "
"    org.eclipse.birt.report.designer.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","reportdesignereditpart.context ","org.eclipse.birt.report.designer.internal.ui.editors.parts.graphicaleditorwithflyoutpalette.context            "
"    org.eclipse.debug.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%Context.debugging.name ","org.eclipse.debug.ui.debugging            "
"    org.eclipse.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.editingText.name ","org.eclipse.ui.textEditorScope            "
"    org.eclipse.wst.jsdt.ui","anonymous",FALSE,"SUCCESS ","SUCCESS ","SUCCESS  ","%context.editingJavaSource.name ","org.eclipse.wst.jsdt.ui.javaEditorScope            "
