"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../category/@name ","must exist: ?../primaryWizard/@id ","?@class java#implements org.eclipse.ui.INewWizard  ","variable ?../category/@name ","variable ?../primaryWizard/@id ","variable ?@class "
"    org.eclipse.emf.codegen.ecore.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%_UI_Wizard_Category ","? ","org.eclipse.emf.codegen.ecore.ui.EmptyProjectWizard            "
"    org.eclipse.jst.ws.uddiregistry","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.command.internal.env.ui.widgets.DynamicWizard            "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%_UI_Wizard_category ","? ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreModelWizard            "
"    org.eclipse.emf.ecore.editor","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%_UI_Wizard_category ","? ","org.eclipse.emf.ecore.presentation.EcoreModelWizard            "
"    org.eclipse.dltk.mylyn","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.mylyn.internal.dltk.ui.wizards.MylynPreferenceWizard            "
"    org.eclipse.jst.j2ee.jca.ui","org.eclipse.jst.j2ee.jca.ui.J2EEUIProjectWizards",FALSE,1,"FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","?            "
"    org.eclipse.emf.mapping.ecore2xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%_UI_Wizard_category ","? ","org.eclipse.emf.mapping.ecore2xml.presentation.Ecore2XMLModelWizard            "
"    org.eclipse.jst.j2ee.ejb.annotations.ui","org.eclipse.jst.j2ee.ejb.annotations.ui.org.eclipse.jst.j2ee.ejb.ui.wizards",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","EJB ","? ","?            "
"    org.eclipse.emf.codegen.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%_UI_JETDevelopment_label ","? ","org.eclipse.emf.codegen.presentation.ConvertToJETProjectWizard            "
"    org.eclipse.wst.command.env.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.command.internal.env.ui.dialog.AntFileImportWizard            "
"    org.eclipse.wst.xsd.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.xsd.ui.internal.wizards.NewXSDWizard            "
"    org.eclipse.ecf.provider.irc.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.ecf.internal.irc.ui.wizards.IRCConnectWizard            "
"    org.eclipse.wst.dtd.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.dtd.ui.internal.wizard.NewDTDWizard            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%_UI_WIZARD_XML_CATEGORY ","? ","org.eclipse.wst.xml.ui.internal.wizards.NewXMLWizard            "
"    org.eclipse.wst.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%_UI_WIZARD_NEW_XML ","? ","org.eclipse.wst.xml.ui.internal.wizards.ExampleProjectCreationWizard            "
"    org.eclipse.wst.wsdl.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS  ","%_UI_LABEL_NEW_CATEGORY_NAME_WS ","? ","org.eclipse.wst.wsdl.ui.internal.wizards.NewWSDLWizard            "
