"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?view/@id ","must exist: ?actionSet/@id ","must exist: ?viewShortcut/@id ","must exist: ?perspectiveShortcut/@id ","must exist: ?newWizardShortcut/@id ","must exist: ?showInPart/@id  ","variable ?view/@id ","variable ?actionSet/@id ","variable ?viewShortcut/@id ","variable ?perspectiveShortcut/@id ","variable ?newWizardShortcut/@id ","variable ?showInPart/@id "
"    net.java.treaty.eclipse.example.clock","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","net.java.treaty.eclipse.example.clock.ClockView ","? ","? ","? ","? ","?            "
"    net.java.treaty.eclipse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","net.java.treaty.eclipse.views.ContractView ","? ","? ","? ","? ","?            "
"    org.eclipse.ecf.provider.irc.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.ecf.provider.ui.irc.connectWizard ","?            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","org.eclipse.jdt.debug.ui.JDTDebugActionSet ","? ","? ","? ","?            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,2,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","org.eclipse.debug.ui.breakpointActionSet ","? ","? ","? ","?            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,3,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","org.eclipse.debug.ui.breakpointActionSet ","? ","? ","? ","?            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,4,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","org.eclipse.debug.ui.breakpointActionSet ","? ","? ","? ","?            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.jdt.debug.ui.DisplayView ","? ","org.eclipse.jdt.debug.ui.DisplayView ","? ","? ","?            "
"    org.eclipse.mylyn.java.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","org.eclipse.mylyn.java.actionSet.browsing ","? ","? ","? ","?            "
"    org.eclipse.gef","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.gef.ui.palette_view ","? ","? ","? ","? ","?            "
"    org.eclipse.datatools.sqltools.sqleditor","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE  ","org.eclipse.ui.views.ContentOutline ","org.eclipse.debug.ui.breakpointActionSet ","org.eclipse.datatools.connectivity.DataSourceExplorerNavigator ","ConfigPerspective ","? ","?            "
"    org.eclipse.ecf.presence.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.ecf.presence.ui.MultiRosterView ","? ","? ","org.eclipse.ecf.presence.ui.MultiRosterView            "
"    org.eclipse.ecf.presence.ui","anonymous",FALSE,1,"FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","? ","? ","? ","?            "
"    org.eclipse.ant.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ant.ui.views.AntView ","? ","org.eclipse.ant.ui.views.AntView ","? ","? ","?            "
"    org.eclipse.ant.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ant.ui.views.AntView ","? ","org.eclipse.ant.ui.views.AntView ","? ","? ","?            "
"    org.eclipse.ant.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ant.ui.views.AntView ","? ","org.eclipse.ant.ui.views.AntView ","? ","? ","?            "
"    org.eclipse.ant.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ant.ui.views.AntView ","? ","org.eclipse.ant.ui.views.AntView ","? ","? ","?            "
"    org.eclipse.ant.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ant.ui.views.AntView ","? ","org.eclipse.ant.ui.views.AntView ","? ","? ","?            "
"    org.eclipse.pde.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","? ","org.eclipse.debug.ui.breakpointActionSet ","? ","? ","? ","org.eclipse.team.ui.GenericHistoryView            "
"    org.eclipse.datatools.sqltools.sqlscrapbook","anonymous",TRUE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.datatools.sqltools.sqlscrapbook.actionSet ","? ","? ","org.eclipse.datatools.sqltools.internal.sqlscrapbook.wizards.NewSQLScrapbookFileCreationWizard ","?            "
"    org.eclipse.datatools.sqltools.sqlscrapbook","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.datatools.sqltools.internal.sqlscrapbook.wizards.NewSQLScrapbookFileCreationWizard ","?            "
"    org.eclipse.dltk.debug.ui","anonymous",TRUE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","? ","org.eclipse.dltk.debug.ui.ScriptDebugActionSet ","? ","? ","? ","?            "
"    org.eclipse.dltk.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.dltk.ui.ScriptExplorer ","? ","? ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","org.eclipse.mylyn.tasks.ui.views.tasks ","? ","org.eclipse.mylyn.tasks.ui.views.tasks ","? ","org.eclipse.mylyn.tasks.ui.wizards.new.repository.task ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","? ","? ","org.eclipse.mylyn.tasks.ui.views.tasks ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","org.eclipse.mylyn.tasks.ui.views.tasks ","? ","org.eclipse.mylyn.tasks.ui.views.tasks ","? ","org.eclipse.mylyn.tasks.ui.wizards.new.repository.task ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,4,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","org.eclipse.mylyn.tasks.ui.views.repositories ","? ","org.eclipse.mylyn.tasks.ui.wizards.new.repository.task ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.tasks.ui.views.repositories ","? ","org.eclipse.mylyn.tasks.ui.views.repositories ","? ","? ","?            "
"    org.eclipse.mylyn.tasks.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","SUCCESS ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.mylyn.tasks.ui.views.repositories ","? ","org.eclipse.mylyn.tasks.ui.views.repositories ","? ","? ","?            "
"    org.tigris.subversion.subclipse.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.tigris.subversion.subclipse.ui.history.HistoryView ","? ","? ","org.tigris.subversion.subclipse.ui.svnPerspective ","? ","?            "
"    org.tigris.subversion.subclipse.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.tigris.subversion.subclipse.ui.annotations.AnnotateView ","? ","? ","? ","? ","?            "
"    org.tigris.subversion.subclipse.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","FAILURE ","FAILURE  ","org.tigris.subversion.subclipse.ui.history.HistoryView ","? ","? ","org.tigris.subversion.subclipse.ui.svnPerspective ","? ","?            "
"    org.eclipse.birt.report.designer.ui.lib","anonymous",TRUE,1,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.birt.report.designer.ui.wizards.NewLibraryWizard ","?            "
"    org.eclipse.birt.report.designer.ui.lib","anonymous",TRUE,2,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.birt.report.designer.ui.wizards.NewLibraryWizard ","?            "
"    org.eclipse.birt.report.designer.ui.lib","anonymous",TRUE,3,"SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS ","FAILURE  ","? ","? ","? ","? ","org.eclipse.birt.report.designer.ui.wizards.NewLibraryWizard ","?            "
