"plugin","extension point","is aggregated contract","partNo","verification result ","?@class java#implements org.eclipse.ui.IWorkbenchPreferencePage  ","variable ?@class "
"    org.eclipse.jst.ws.axis.consumption.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jst.ws.internal.axis.consumption.ui.preferences.AxisEmitterPreferencePage            "
"    org.eclipse.epp.usagedata.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.epp.usagedata.internal.ui.preferences.UsageDataCapturePreferencesPage            "
"    org.eclipse.epp.usagedata.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.epp.usagedata.internal.ui.preferences.UsageDataUploadingPreferencesPage            "
"    org.eclipse.epp.usagedata.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS  ","org.eclipse.epp.usagedata.internal.ui.preferences.UsageDataUploadingTermsOfUsePage            "
"    org.eclipse.epp.usagedata.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS  ","org.eclipse.epp.usagedata.internal.ui.preferences.UsageDataUploadingPreviewPage            "
"    org.eclipse.ui.browser","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.ui.internal.browser.WebBrowserPreferencePage            "
"    org.eclipse.datatools.sqltools.sqlbuilder","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.datatools.sqltools.sqlbuilder.preferences.SQLBuilderPreferencePage            "
"    org.eclipse.datatools.enablement.sybase.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.datatools.enablement.sybase.ui.SybaseDatabaseProfileSettingPage            "
"    org.eclipse.jst.jsf.facesconfig.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jst.jsf.facesconfig.ui.preference.GEMPreferences            "
"    org.eclipse.birt.report.data.oda.jdbc.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS  ","org.eclipse.birt.report.data.oda.jdbc.ui.preference.DateSetPreferencePage            "
"    org.eclipse.jst.jsf.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS  ","org.eclipse.jst.jsf.ui.internal.classpath.JSFLibrariesPreferencePage            "
"    org.eclipse.jst.jsf.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS  ","org.eclipse.jst.jsf.ui.internal.validation.JSFValidationPreferencePage            "
