"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?scope/@class ","must exist: ?initializer/@class ","must exist: ?modifier/@class  ","variable ?scope/@class ","variable ?initializer/@class ","variable ?modifier/@class "
"    org.eclipse.jpt.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jpt.core.internal.prefs.JpaPreferenceInitializer ","?            "
"    org.eclipse.dltk.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.dltk.internal.core.DLTKCorePreferenceInitializer ","?            "
"    org.eclipse.debug.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.debug.internal.core.DebugPreferenceInitializer ","?            "
"    org.eclipse.wst.jsdt.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.wst.jsdt.internal.core.JavaCorePreferenceInitializer ","?            "
"    org.eclipse.wst.jsdt.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","? ","? ","org.eclipse.wst.jsdt.internal.core.JavaCorePreferenceModifyListener            "
"    org.eclipse.datatools.sqltools.sqlbuilder","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.datatools.sqltools.sqlbuilder.preferences.SQLBuilderPreferenceInitializer ","?            "
"    org.eclipse.datatools.enablement.sybase.ui","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.datatools.enablement.sybase.ui.SybasePreferenceInitializer ","?            "
"    org.eclipse.cdt.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.cdt.internal.core.CCorePreferenceInitializer ","?            "
"    org.eclipse.dltk.testing","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.dltk.internal.testing.ui.DLTKTestingPreferenceInitializer ","?            "
"    org.eclipse.jdt.apt.core","anonymous",FALSE,1,"SUCCESS ","FAILURE ","SUCCESS ","FAILURE  ","? ","org.eclipse.jdt.apt.core.internal.util.AptCorePreferenceInitializer ","?            "
