"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?../@id ","must exist: ?../@targetID ","must exist: ?../menu/@id ","must exist: ?../menu/@label ","must exist: ?@id ","must exist: ?@label ","?@class java#implements org.eclipse.ui.IEditorActionDelegate  ","variable ?../@id ","variable ?../@targetID ","variable ?../menu/@id ","variable ?../menu/@label ","variable ?@id ","variable ?@label ","variable ?@class "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreContributionID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreMenuID ","%_UI_Ecore2EcoreEditor_menu_item ","org.eclipse.emf.mapping.action.RemoveMappingActionID ","%_UI_RemoveMapping_menu_item ","org.eclipse.emf.mapping.action.RemoveMappingAction            "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreContributionID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreMenuID ","%_UI_Ecore2EcoreEditor_menu_item ","org.eclipse.emf.mapping.action.TypeMatchMappingActionID ","%_UI_MatchMappingByType_menu_item ","org.eclipse.emf.mapping.action.TypeMatchMappingAction            "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreContributionID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreMenuID ","%_UI_Ecore2EcoreEditor_menu_item ","org.eclipse.emf.mapping.action.NameMatchMappingActionID ","%_UI_MatchMappingByName_menu_item ","org.eclipse.emf.mapping.action.NameMatchMappingAction            "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreContributionID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreMenuID ","%_UI_Ecore2EcoreEditor_menu_item ","org.eclipse.emf.mapping.action.CreateOneSidedMappingActionID ","%_UI_CreateOneSideMapping_menu_item ","org.eclipse.emf.mapping.action.CreateOneSidedMappingAction            "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreContributionID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreMenuID ","%_UI_Ecore2EcoreEditor_menu_item ","org.eclipse.emf.mapping.action.CreateMappingActionID ","%_UI_CreateMapping_menu_item ","org.eclipse.emf.mapping.action.CreateMappingAction            "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreContributionID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreMenuID ","%_UI_Ecore2EcoreEditor_menu_item ","org.eclipse.emf.mapping.ecore2ecore.action.AddOuputRootActionID ","%_UI_AddOutputRoot_menu_item ","org.eclipse.emf.mapping.ecore2ecore.action.AddOutputRootAction            "
"    org.eclipse.emf.mapping.ecore2ecore.editor","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreContributionID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreEditorID ","org.eclipse.emf.mapping.ecore2ecore.presentation.Ecore2EcoreMenuID ","%_UI_Ecore2EcoreEditor_menu_item ","org.eclipse.emf.mapping.ecore2ecore.action.AddInputRootActionID ","%_UI_AddInputRoot_menu_item ","org.eclipse.emf.mapping.ecore2ecore.action.AddInputRootAction            "
"    org.eclipse.birt.report.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor.BreakpointRulerActions ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor ","? ","? ","org.eclipse.birt.report.debug.internal.ui.script.editor.DebugJsEditor.ManageBreakpointRulerAction ","%ToggleBreakpoint.label ","org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate            "
"    org.eclipse.birt.report.debug.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.birt.report.designer.ui.editor.script.BreakpointRulerActions ","org.eclipse.birt.report.designer.ui.editor.script.DecoratedScriptEditor ","? ","? ","org.eclipse.birt.report.designer.ui.editor.script.DecoratedScriptEditor.ManageBreakpointRulerAction ","%ToggleBreakpoint.label ","org.eclipse.debug.ui.actions.RulerToggleBreakpointActionDelegate            "
"    org.eclipse.wst.xsd.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.xsd.core.xsdsource.ruler.actions ","org.eclipse.wst.xsd.core.xsdsource.source ","? ","? ","org.eclipse.ui.texteditor.BookmarkRulerAction ","%AddBookmark.label ","org.eclipse.ui.texteditor.BookmarkRulerAction            "
