"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@name ","must exist: ?count/@value ","?count/@value.null net.java.treaty.Operator$REGEX@16244b4(\d)*|\*|\?|\+|\! ","?@class java#implements org.eclipse.ui.IWorkbenchPropertyPage  ","variable ?@id ","variable ?@name ","variable ?count/@value ","variable ?@class "
"    org.eclipse.rse.processes.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.ui.propertypages.serverLauncherPropertyPage ","%PropertyPage.ServerLauncherSettings ","? ","org.eclipse.rse.internal.ui.propertypages.ServerLauncherPropertyPage            "
"    org.eclipse.rse.processes.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.processes.ui.propertypages.ProcessServicesPropertyPage ","%PropertyPage.Service ","? ","org.eclipse.rse.internal.processes.ui.propertypages.ProcessServicesPropertyPage            "
"    org.eclipse.datatools.connectivity.db.generic.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.connectivity.db.generic.profileProperties ","%page.name.jdbcConnectionProperties ","? ","org.eclipse.datatools.connectivity.db.generic.internal.ui.GenericJDBCDBProfilePropertyPage            "
"    org.eclipse.datatools.enablement.ibm.informix.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.enablement.ibm.informix.profileProperties ","%profile.informix.properties ","? ","org.eclipse.datatools.enablement.ibm.informix.internal.ui.InformixDBProfilePropertyPage            "
"    org.eclipse.birt.report.data.oda.jdbc.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","%oda.data.source.id ","%profile.propertypage.name ","? ","org.eclipse.birt.report.data.oda.jdbc.ui.profile.JDBCPropertyPage            "
"    org.eclipse.emf.codegen.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","JETSettingsPropertiesPage ","%_UI_JETSettings_label ","? ","org.eclipse.emf.codegen.presentation.JETPropertyPage            "
"    org.eclipse.datatools.enablement.oda.ws.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","%oda.data.source.id ","%profile.propertypage.name ","? ","org.eclipse.datatools.enablement.oda.ws.ui.wizards.WebServicePropertyPage            "
"    org.eclipse.birt.report.data.oda.sampledb.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","%oda.data.source.id ","%profile.propertypage.name ","? ","org.eclipse.birt.report.data.oda.sampledb.ui.profile.SampleDbPropertyPage            "
"    org.eclipse.datatools.enablement.ibm.db2.iseries.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.enablement.ibm.db2.iseries.profileProperties ","%profile.db2.iseries.properties ","? ","org.eclipse.datatools.enablement.ibm.db2.iseries.internal.ui.ISeriesDBProfilePropertyPage            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.debug.ui.snippeteditor.SnippetEditorPage ","%snippetEditorPageName ","? ","org.eclipse.jdt.internal.debug.ui.snippeteditor.SnippetEditorPropertyPage            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.debug.ui.propertypages.LineBreakpoints ","%breakpointPropertiesPage.label ","? ","org.eclipse.jdt.internal.debug.ui.propertypages.JavaLineBreakpointPage            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.debug.ui.propertypages.LineBreakpointsFiltering ","%filteringPage.label ","? ","org.eclipse.jdt.internal.debug.ui.propertypages.JavaBreakpointAdvancedPage            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.debug.ui.propertypages.ClassPrepareBreakpoint ","%breakpointPropertiesPage.label ","? ","org.eclipse.jdt.internal.debug.ui.propertypages.JavaBreakpointPage            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.debug.ui.propertypages.ExceptionBreakpointFiltering ","%filteringPage.label ","? ","org.eclipse.jdt.internal.debug.ui.propertypages.JavaExceptionBreakpointAdvancedPage            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jdt.debug.ui.propertypages.ExceptionBreakpoint ","%breakpointPropertiesPage.label ","? ","org.eclipse.jdt.internal.debug.ui.propertypages.JavaExceptionBreakpointPage            "
"    org.eclipse.jdt.debug.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.ui.properties.vmCapabilities ","%vmCapabilitiesPageName ","? ","org.eclipse.jdt.internal.debug.ui.propertypages.VMCapabilitiesPropertyPage            "
"    org.eclipse.datatools.enablement.hsqldb.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.enablement.hsqldb.connectionProfile.profileProperties ","%profile.page.name ","? ","org.eclipse.datatools.enablement.hsqldb.ui.connection.HSQLDBProfilePropertyPage            "
"    org.eclipse.wst.common.project.facet.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.common.project.facet.ui.internal.FacetsPropertyPage ","%project.facets ","? ","org.eclipse.wst.common.project.facet.ui.internal.FacetsPropertyPage            "
"    org.eclipse.wst.common.project.facet.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.common.project.facet.ui.internal.RuntimesPropertyPage ","%runtimesPropertyPageLabel ","? ","org.eclipse.wst.common.project.facet.ui.internal.RuntimesPropertyPage            "
"    org.eclipse.update.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.update.ui.featureGeneralPropertyPage ","%properties.general-info.label ","? ","org.eclipse.update.internal.ui.properties.FeatureGeneralPropertyPage            "
"    org.eclipse.update.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.update.ui.featureLicensePropertyPage ","%properties.license.label ","? ","org.eclipse.update.internal.ui.properties.FeatureLicensePropertyPage            "
"    org.eclipse.update.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.update.ui.featureCopyrightPropertyPage ","%properties.copyright.label ","? ","org.eclipse.update.internal.ui.properties.FeatureCopyrightPropertyPage            "
"    org.eclipse.update.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.update.ui.featureStatusPropertyPage ","%properties.status.label ","? ","org.eclipse.update.internal.ui.properties.FeatureStatusPropertyPage            "
"    org.eclipse.update.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.update.ui.configSite ","%properties.general-info.label ","? ","org.eclipse.update.internal.ui.properties.ConfiguredSitePropertyPage            "
"    org.eclipse.update.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.update.ui.installConfig ","%properties.general-info.label ","? ","org.eclipse.update.internal.ui.properties.InstallConfigurationPropertyPage            "
"    org.eclipse.wst.ws.service.policy.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.ws.internal.ui.wsi.properties.WSICompliancePropertyPage ","%PREFERENCE_SERVICEPOLICIES ","? ","org.eclipse.wst.ws.internal.service.policy.ui.properties.ServicePoliciesPropertyPage            "
"    org.eclipse.wst.css.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.wst.css.ui.internal.contentproperties.CSSWebContentSettingsPropertyPage.css ","%WebContentSettings.name ","? ","org.eclipse.wst.css.ui.internal.contentproperties.ui.CSSWebContentSettingsPropertyPage            "
"    org.eclipse.datatools.enablement.mysql.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.enablement.mysql.profileProperties ","%profile.mysql.properties ","? ","org.eclipse.datatools.enablement.mysql.internal.ui.connection.MySQLDBProfilePropertyPage            "
"    org.eclipse.datatools.enablement.postgresql.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.enablement.postgresql.profile.profileProperties ","%PAGE_NAME_POSTGRESQL_CONNECTION_PROPERTIES ","? ","org.eclipse.datatools.enablement.postgresql.internal.ui.PostgreSQLProfilePropertyPage            "
"    org.eclipse.datatools.enablement.oracle.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.datatools.enablement.oracle.profileProperties ","%profile.oracle.properties ","? ","org.eclipse.datatools.enablement.oracle.internal.ui.OracleDBProfilePropertyPage            "
"    org.eclipse.birt.report.data.oda.xml.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","%oda.data.source.id ","%profile.propertypage.name ","? ","org.eclipse.datatools.enablement.oda.xml.ui.wizards.XMLPropertyPage            "
"    org.eclipse.birt.report.item.crosstab.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.birt.report.item.crosstab.ui.preferencepage ","%preference.crosstabPage ","? ","org.eclipse.birt.report.item.crosstab.ui.preference.CrosstabPreferencePage            "
"    org.eclipse.rse.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SubSystemsPropertyPage ","%PropertyPage.SubSystem ","? ","org.eclipse.rse.ui.propertypages.SystemSubSystemPropertyPageCore            "
"    org.eclipse.rse.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemPropertyPage ","%PropertyPage.Connection ","? ","org.eclipse.rse.internal.ui.propertypages.SystemConnectionPropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.ui.propertypages.SystemConnectorServicesPropertyPage ","%PropertyPage.Connection.ConnectorServices ","? ","org.eclipse.rse.internal.ui.propertypages.SystemConnectorServicesPropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemFilterPoolPropertyPage ","%PropertyPage.FilterPool ","? ","org.eclipse.rse.internal.ui.propertypages.SystemFilterPoolPropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemFilterPoolReferencePropertyPage ","%PropertyPage.Reference ","? ","org.eclipse.rse.internal.ui.propertypages.SystemFilterPoolReferencePropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemFilterPoolReferencePropertyPage2 ","%PropertyPage.ReferencedFilterPool ","? ","org.eclipse.rse.internal.ui.propertypages.SystemFilterPoolPropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemFilterPropertyPage ","%PropertyPage.Filter ","? ","org.eclipse.rse.internal.ui.propertypages.SystemFilterPropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,8,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemChangeFilterPropertyPage ","%PropertyPage.ChangeFilter ","? ","org.eclipse.rse.ui.propertypages.SystemChangeFilterPropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,9,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemFilterStringPropertyPage ","%PropertyPage.FilterString ","? ","org.eclipse.rse.ui.propertypages.SystemFilterStringPropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,10,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemTeamViewCategoryPropertyPage ","%PropertyPage.TeamViewCategoryNode ","? ","org.eclipse.rse.ui.propertypages.SystemTeamViewCategoryPropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,11,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemProfilePropertyPage ","%PropertyPage.Profile ","? ","org.eclipse.rse.internal.ui.propertypages.SystemTeamViewProfilePropertyPage            "
"    org.eclipse.rse.ui","anonymous",TRUE,12,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.rse.SystemTeamViewSubSystemFactoryPropertyPage ","%PropertyPage.TeamViewSubSystemFactoryNode ","? ","org.eclipse.rse.internal.ui.propertypages.SystemTeamViewSubSystemConfigurationPropertyPage            "
